#X	CH1	CH2
#Sequence	Volt	Volt
723	2.02e+00	0.00e+00
724	2.06e+00	0.00e+00
725	2.02e+00	0.00e+00
726	2.02e+00	0.00e+00
727	2.02e+00	0.00e+00
728	2.02e+00	0.00e+00
729	2.06e+00	0.00e+00
730	2.02e+00	0.00e+00
731	2.06e+00	0.00e+00
732	2.02e+00	0.00e+00
733	2.06e+00	0.00e+00
734	2.02e+00	0.00e+00
735	2.06e+00	0.00e+00
736	2.02e+00	0.00e+00
737	2.02e+00	0.00e+00
738	2.02e+00	0.00e+00
739	2.06e+00	0.00e+00
740	2.02e+00	0.00e+00
741	2.02e+00	0.00e+00
742	2.02e+00	0.00e+00
743	2.06e+00	0.00e+00
744	2.06e+00	0.00e+00
745	2.06e+00	0.00e+00
746	2.02e+00	0.00e+00
747	2.06e+00	0.00e+00
748	2.02e+00	0.00e+00
749	2.02e+00	0.00e+00
750	2.06e+00	0.00e+00
751	2.02e+00	0.00e+00
752	2.02e+00	0.00e+00
753	2.02e+00	0.00e+00
754	2.02e+00	0.00e+00
755	2.06e+00	0.00e+00
756	2.02e+00	0.00e+00
757	2.02e+00	0.00e+00
758	2.06e+00	0.00e+00
759	2.02e+00	0.00e+00
760	2.02e+00	0.00e+00
761	2.06e+00	0.00e+00
762	2.02e+00	0.00e+00
763	2.06e+00	0.00e+00
764	2.02e+00	0.00e+00
765	2.06e+00	0.00e+00
766	2.06e+00	0.00e+00
767	2.06e+00	0.00e+00
768	2.06e+00	0.00e+00
769	2.06e+00	0.00e+00
770	2.02e+00	0.00e+00
771	2.06e+00	0.00e+00
772	2.06e+00	0.00e+00
773	2.06e+00	0.00e+00
774	2.06e+00	0.00e+00
775	2.06e+00	0.00e+00
776	2.06e+00	0.00e+00
777	2.02e+00	0.00e+00
778	2.06e+00	0.00e+00
779	2.06e+00	0.00e+00
780	2.06e+00	0.00e+00
781	2.02e+00	0.00e+00
782	2.06e+00	0.00e+00
783	2.06e+00	0.00e+00
784	2.06e+00	0.00e+00
785	2.06e+00	0.00e+00
786	2.02e+00	0.00e+00
787	2.02e+00	0.00e+00
788	2.06e+00	0.00e+00
789	2.06e+00	0.00e+00
790	2.06e+00	0.00e+00
791	2.06e+00	0.00e+00
792	2.06e+00	0.00e+00
793	2.06e+00	0.00e+00
794	2.06e+00	0.00e+00
795	2.02e+00	0.00e+00
796	2.02e+00	0.00e+00
797	2.06e+00	0.00e+00
798	2.06e+00	0.00e+00
799	2.02e+00	0.00e+00
800	2.02e+00	0.00e+00
801	2.06e+00	0.00e+00
802	2.06e+00	0.00e+00
803	2.02e+00	0.00e+00
804	2.06e+00	0.00e+00
805	2.02e+00	0.00e+00
806	2.06e+00	0.00e+00
807	2.02e+00	0.00e+00
808	2.06e+00	0.00e+00
809	2.06e+00	0.00e+00
810	2.02e+00	0.00e+00
811	2.02e+00	0.00e+00
812	2.02e+00	0.00e+00
813	2.02e+00	0.00e+00
814	2.02e+00	0.00e+00
815	2.02e+00	0.00e+00
816	2.06e+00	0.00e+00
817	2.06e+00	0.00e+00
818	2.06e+00	0.00e+00
819	2.06e+00	0.00e+00
820	2.02e+00	0.00e+00
821	2.02e+00	0.00e+00
822	2.02e+00	0.00e+00
823	2.06e+00	0.00e+00
824	2.06e+00	0.00e+00
825	2.06e+00	0.00e+00
826	2.02e+00	0.00e+00
827	2.02e+00	0.00e+00
828	2.02e+00	0.00e+00
829	2.02e+00	0.00e+00
830	2.06e+00	0.00e+00
831	2.02e+00	0.00e+00
832	2.06e+00	0.00e+00
833	2.02e+00	0.00e+00
