2	0.500000000	D ∞ h {displaystyle D_{infty h}} D_{{infty h}}	0	–	–	–	–	–	–	2	–	–	180.000°
163	12136.013053220	C 2 {displaystyle C_{2}} C_{{2}}	0.000120798	0	0	12	151	0	0	483	322	0	15.675°
164	12288.930105320	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	152	0	0	486	324	0	15.655°
165	12442.804451373	C 2 {displaystyle C_{2}} C_{{2}}	0.000091119	0	0	12	153	0	0	489	326	0	15.651°
166	12597.649071323	D 2 d {displaystyle D_{2d}} D_{{2d}}	0	0	0	16	146	4	0	492	328	0	15.607°
167	12753.469429750	C 2 {displaystyle C_{2}} C_{{2}}	0.000097382	0	0	12	155	0	0	495	330	0	15.600°
168	12910.212672268	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	156	0	0	498	332	0	15.655°
169	13068.006451127	C s {displaystyle C_{s}} C_{{s}}	0.000068102	0	0	13	155	1	0	501	334	0	15.537°
170	13226.681078541	D 2 d {displaystyle D_{2d}} D_{{2d}}	0	0	0	12	158	0	0	504	336	0	15.569°
171	13386.355930717	D 3 {displaystyle D_{3}} D_{{3}}	0	0	0	12	159	0	0	507	338	0	15.497°
172	13547.018108787	C 2 v {displaystyle C_{2v}} C_{{2v}}	0.000547291	0	0	14	156	2	0	510	340	0	15.292°
173	13708.635243034	C s {displaystyle C_{s}} C_{{s}}	0.000286544	0	0	12	161	0	0	513	342	0	15.225°
174	13871.187092292	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	162	0	0	516	344	0	15.366°
175	14034.781306929	C 2 {displaystyle C_{2}} C_{{2}}	0.000026686	0	0	12	163	0	0	519	346	0	15.252°
176	14199.354775632	C 1 {displaystyle C_{1}} C_{{1}}	0.000283978	0	0	12	164	0	0	522	348	0	15.101°
177	14364.837545298	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	165	0	0	525	350	0	15.269°
178	14531.309552587	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	166	0	0	528	352	0	15.145°
179	14698.754594220	C 1 {displaystyle C_{1}} C_{{1}}	0.000125113	0	0	13	165	1	0	531	354	0	14.968°
180	14867.099927525	D 2 {displaystyle D_{2}} D_{{2}}	0	0	0	12	168	0	0	534	356	0	15.067°
181	15036.467239769	C 2 {displaystyle C_{2}} C_{{2}}	0.000304193	0	0	12	169	0	0	537	358	0	15.002°
182	15206.730610906	D 5 {displaystyle D_{5}} D_{{5}}	0	0	0	12	170	0	0	540	360	0	15.155°
183	15378.166571028	C 1 {displaystyle C_{1}} C_{{1}}	0.000467899	0	0	12	171	0	0	543	362	0	14.747°
184	15550.421450311	T {displaystyle T} T	0	0	0	12	172	0	0	546	364	0	14.932°
